fid,latitude,longitude,TOTAL_SCORE,cluster
4488,42.28096718,-71.05440022,56,86
4489,42.28066635,-71.05438398,51,86
4490,42.28390134,-71.06272485,51,152
4491,42.28335583,-71.06258753,51,152
4492,42.28261729,-71.06210116,57,152
4493,42.28237058,-71.06190995,51,152
4494,42.28125415,-71.06210616,51,159
4495,42.28151389,-71.06227086,51,159
4496,42.28220446,-71.0627589,51,159
4497,42.28215967,-71.0629073,62,159
4498,42.28206557,-71.06322329,52,159
4499,42.28197417,-71.06353259,52,159
4500,42.28194985,-71.06370979,51,159
4501,42.28158608,-71.06339273,51,159
4502,42.28144433,-71.06334134,51,159
4503,42.28126553,-71.06326134,52,159
4504,42.28127844,-71.06302964,52,159
4505,42.28131344,-71.06280666,51,159
4506,42.28136202,-71.06263,51,159
4507,42.28118496,-71.06252298,51,159
4508,42.28105014,-71.06289054,51,159
4509,42.28099282,-71.06306934,51,159
4510,42.28116393,-71.06355519,67,159
4511,42.28160687,-71.06375747,51,159
4512,42.28170598,-71.06382337,56,159
4513,42.28248179,-71.06287676,57,159
4514,42.28158076,-71.06298506,51,159
4515,42.28186711,-71.06276671,51,159
4516,42.28192047,-71.0625997,51,159
4517,42.28174326,-71.06248883,51,159
4518,42.28168135,-71.06265057,51,159
4519,42.28162743,-71.06282109,51,159
4520,42.28242255,-71.06458405,51,159
4521,42.28234068,-71.06470083,60,159
4522,42.28243325,-71.06498064,58,158
4523,42.28267759,-71.06490248,61,158
4524,42.28067065,-71.06400102,56,159
4525,42.28080528,-71.06409224,56,159
4526,42.28192171,-71.06491882,59,159
4527,42.28176679,-71.06438117,51,159
4528,42.28166583,-71.06431403,51,159
4529,42.2816097,-71.06418817,51,159
4530,42.28144807,-71.06416973,51,159
4531,42.28112414,-71.06395481,51,159
4532,42.28101102,-71.06388001,51,159
4533,42.28058593,-71.06438003,56,159
4534,42.28042152,-71.06505794,51,159
4535,42.28078963,-71.06529513,51,159
4536,42.28094818,-71.06524899,51,159
4537,42.28111433,-71.06520057,51,159
4538,42.28187642,-71.06521019,56,158
4539,42.28123532,-71.06479386,53,159
4540,42.28088565,-71.06474178,56,159
4541,42.28074973,-71.06473663,51,159
